@target G0.S0
@type xydy
0.5 -418.14680 1.98308
0.6 -403.79540 2.10194
0.7 -412.40811 1.87501
0.8 -418.26913 2.12432
0.9 -412.62838 1.97816
1.0 -384.26401 2.12690
1.1 -395.52658 2.45657
1.2 -400.30369 2.19311
1.3 -387.87400 2.07610
1.4 -409.30798 2.12449
1.5 -371.77777 2.30427
1.6 -363.62790 2.25933
1.7 -384.22566 2.19369
1.8 -384.93072 2.12699
1.9 -362.44018 2.60923
2.0 -354.26749 1.94672
&
@target G3.S2
@type xydy
-2.0 -367.02450 2.02550
-1.9 -377.16772 2.13386
-1.8 -369.33639 2.27530
-1.7 -370.91579 1.93687
-1.6 -373.85830 2.17637
-1.5 -396.38970 2.41913
-1.4 -388.84142 2.32827
-1.3 -380.11870 2.13916
-1.2 -394.54436 2.05619
-1.1 -391.84292 2.14127
-1.0 -387.38377 2.22149
-0.9 -396.04572 2.16810
-0.8 -399.49558 2.39918
-0.7 -399.23912 2.19619
-0.6 -410.38288 2.07405
-0.5 -397.22469 2.08401
-0.4 -401.78144 2.08201
-0.3 -403.42615 2.15935
-0.2 -406.59283 2.09757
-0.1 -420.19261 2.15057
0.0 -417.97629 2.12132
0.1 -410.78112 2.19652
0.2 -421.23678 2.14686
0.3 -410.15401 2.03969
0.4 -425.10084 2.18959
0.5 -404.88741 1.95415
0.6 -419.15511 2.37216
0.7 -402.22354 2.12656
0.8 -405.14496 2.00291
0.9 -392.27156 2.25726
1.0 -392.09052 2.19355
1.1 -398.14813 1.88106
1.2 -406.34450 2.29573
1.3 -374.89784 2.13181
1.4 -366.28052 1.96073
1.5 -365.20913 2.23220
1.6 -394.47683 2.17425
1.7 -387.50008 2.18449
1.8 -363.65594 2.10189
1.9 -381.64473 2.31655
2.0 -387.39409 2.18431
&
@target G4.S2
@type xydy
-2.0 -364.16974 2.22021
-1.9 -360.10583 2.04975
-1.8 -374.33308 2.11198
-1.7 -353.58699 2.27624
-1.6 -379.46110 1.90661
-1.5 -369.62742 2.17779
-1.4 -364.03672 2.34381
-1.3 -349.26739 2.23899
-1.2 -383.92787 2.07522
-1.1 -376.97506 1.80810
-1.0 -386.02127 2.14105
-0.9 -377.18766 2.05400
-0.8 -383.62731 1.92176
-0.7 -391.75093 2.05422
-0.6 -401.30368 2.16162
-0.5 -409.84155 2.07700
-0.4 -398.67501 2.45529
-0.3 -412.91996 2.30262
-0.2 -406.98995 1.88865
